Post_ID,Ticker,Title,Body,Post_Date,Upvotes,Num_Comments
a0db71a9-d4e6-459e-b7e7-5ed0b998db48,UAL,"JetBlue, United Airlines Link Loyalty Programs With New Partnership","JetBlue (NASDAQ:JBLU) and United Airlines Holdings Inc. (NASDAQ:UAL) unveiled a wide-ranging partnership on Thursday to expand customer benefits, loyalty rewards, and travel options across both airlines’ networks.
The initiative called “Blue Sky” enables travelers to earn and redeem loyalty points…",2025-05-29,,
1a0e4450-0c71-4882-82ef-c01aee489a98,UAL,"JetBlue, United Announce Alliance; It's No Help To This Airline's Stock",and United Airlines (UAL) announced an alliance that expands both airlines' reach and offers new options for members of their mileage programs. The United-JetBlue pact gives United a foothold into John F. Kennedy International Airport while JetBlue gains more access to Newark Liberty International…,2025-05-29,,
083da112-4583-44ae-b266-d36bbc9e8add,UAL,Bankrupt airline stock tanks on cancelled flight fears,"On May 28, Azul Airlines (AZUL) announced that it was filing for Chapter 11 protection after months of rumors that a bankruptcy was the only way Brazil’s third-largest airline could get out of its growing debt.
Earlier efforts to get lenders to wipe out $550 million in loans in exchange for equity…",2025-05-28,,
1fe0c12b-af46-4416-9571-7aa34af172d6,UAL,Board Member Of United Airlines Holdings Sold $129K In Stock,"It was reported on May 27, that James M Whitehurst, Board Member at United Airlines Holdings UAL executed a significant insider sell, according to an SEC filing.
What Happened: Whitehurst opted to sell 1,730 shares of United Airlines Holdings, according to a Form 4 filing with the U.S. Securities…",2025-05-28,,
bcf240d8-d3c2-478a-850d-60b220a0e0dc,UAL,Board Member At United Airlines Holdings Sells $129K Of Stock,"Michelle Freyre, Board Member at United Airlines Holdings UAL, reported an insider sell on May 27, according to a new SEC filing.
What Happened: According to a Form 4 filing with the U.S. Securities and Exchange Commission on Tuesday, Freyre sold 1,730 shares of United Airlines Holdings. The total…",2025-05-28,,
cda55a99-83fd-4917-b9c4-ebc51384a608,UAL,United Airlines to make check-in change many will find annoying,"As those who travel frequently have had the chance to discover, the check-in counter is the single most likely thing to hold you up when you are rushing to board a flight.
While travelers on a domestic flight without a bag to check can go straight toward security, everyone else needs to wait in…",2025-05-27,,
e709bc16-b21b-4adf-9384-f03ed3ff6bdd,UAL,Airlines extend their flying ban into risky country,"After the October 2023 attacks and abductions by militant group Hamas prompted the Israeli military’s entry into Gaza, multiple international airlines immediately halted service to the Middle Eastern nation.
American Airlines (AAL) confirmed that it will not restart flights to Tel Aviv in the…",2025-05-22,,
249e8369-5e09-455e-af01-05e1c0040a06,UAL,United Airlines Holdings Inc (NASDAQ:UAL): Jim Cramer Wonders If It’s A Gold Mine,"In a recent appearance on CNBC's Squawk on the Street, Jim Cramer commented on the recent downgrade of US credit. In a surprising development that led markets to end flat during the day, ratings agency Moody's downgraded America's perfect credit rating from the highest rating of AAA to AA+.…",2025-05-22,,
a6303333-662a-4c47-a83d-6ff60baa0dab,UAL,"UBS Upgrades United Airlines (UAL) to Buy on Tariff Relief, Hikes PT","In This Article:
On Monday UBS upgraded United Airlines Holdings Inc. (NASDAQ:UAL) from Neutral to Buy, while increasing its price target from $67 to $105. This upgrade is based on the recent 90-day tariff agreement with China and a framework established with the UK, which have together led UBS to…",2025-05-20,,
