Post_ID,Ticker,Title,Body,Post_Date,Upvotes,Num_Comments
1a848774-cab9-4015-9701-1eb99c8a1e60,DDOG,Tiger Global's Chase Coleman Just Dumped Datadog and Piled Into This Beaten-Down Payments Stock,"In This Article:
Key Points
-
Chase Coleman is a ""Tiger Cub,"" one of the investors to work under Julian Robertson at Tiger Management before he launched his own hedge fund.
-
Coleman has decades of experience investing in tech stocks.
-
Coleman's fund recently turned its attention to a large…",2025-05-27,,
ddae9ff6-a4ae-47a3-a9c8-e2739555bf7e,DDOG,Datadog AI Research Lab Launches First-Ever Observability Foundation Model,"In This Article:
Datadog, Inc. (NASDAQ:DDOG) unveiled on May 21 the first releases from its newly established Datadog AI Research division. The company introduced an open-source foundation model called Toto and an observability benchmark named BOOM. This launch coincides with the company's…",2025-05-23,,
