Post_ID,Ticker,Title,Body,Post_Date,Upvotes,Num_Comments
6977a900-af82-4293-841d-ddfedfc76576,REGN,Does the 23andMe Acquisition Make Regeneron a Buy Now?,"In This Article:
Key Points
-
On May 19, Regeneron agreed to acquire 23andMe for $256 million.
-
The potential acquisition is still subject to bankruptcy court approval.
-
At its peak, 23andMe's market value swelled to $5.8 billion.
Have you ever wondered if an established drugmaker could do…",2025-05-24,,
d0a475d3-51d9-4d25-ab0c-2720a4ed87a7,REGN,Here's How Much You Would Have Made Owning Regeneron Pharmaceuticals Stock In The Last 15 Years,"Regeneron Pharmaceuticals (NASDAQ:REGN) has outperformed the market over the past 15 years by 10.66% on an annualized basis producing an average annual return of 22.46%. Currently, Regeneron Pharmaceuticals has a market capitalization of $64.44 billion. 
Buying $100 In REGN: If ...
Full story…",2025-05-22,,
6c136605-a5b9-4f26-a79f-9ea0d04b02bf,REGN,"Regeneron Pharmaceuticals, Inc. (NASDAQ:REGN) Made A “Very Smart Deal,” Says Jim Cramer","In a recent appearance on CNBC's Squawk on the Street, Jim Cramer commented on the recent downgrade of US credit. In a surprising development that led markets to end flat during the day, ratings agency Moody's downgraded America's perfect credit rating from the highest rating of AAA to AA+.…",2025-05-22,,
f8ff6f26-3001-4ee0-bc70-a65a4710c921,REGN,Genetic Data From 23andMe Ends Up With This Company In $256 Million Deal,"In This Article:
Regeneron Pharmaceuticals Inc. (NASDAQ:REGN) announced Monday that it has secured the winning bid in the bankruptcy auction for key assets of 23andMe Holding Co. in a $256 million deal to boost its genetics-based drug discovery efforts.
The acquisition includes 23andMe’s Personal…",2025-05-21,,
